trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
202,False,"{'a': 0.8, 'e': 0.5318607213743555}",20,0,-38.94586734040056,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
203,False,"{'a': 0.8, 'e': 0.5276199315484067}",30,20,-28.708177076533758,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
204,False,"{'a': 0.8, 'e': 0.5233659512516496}",30,2,-22.35734669477387,"{0: 24, 1: 0, 2: 3, 3: 1, 4: 0}",1
205,False,"{'a': 0.8, 'e': 0.5190988868333698}",20,0,-58.05586947563798,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
206,False,"{'a': 0.8, 'e': 0.5148188449699553}",20,6,12.981845930759212,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.8, 'e': 0.5105259326622303}",25,0,-22.311163742250983,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
208,False,"{'a': 0.8, 'e': 0.5062202572327784}",25,11,-13.220516308064525,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
209,False,"{'a': 0.8, 'e': 0.5019019263232615}",20,13,5.363456420098739,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.8, 'e': 0.497571047891727}",30,0,-49.24019197681883,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
211,False,"{'a': 0.8, 'e': 0.4932277302099105}",20,0,-47.01271440826835,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
212,False,"{'a': 0.8, 'e': 0.48887208186052755}",20,0,1.662674822614267,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
213,False,"{'a': 0.8, 'e': 0.4845042117345603}",20,0,-4.147287122003298,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
214,False,"{'a': 0.8, 'e': 0.48012422902853413}",35,0,-115.38967123496481,"{0: 22, 1: 2, 2: 9, 3: 2, 4: 0}",0
215,False,"{'a': 0.8, 'e': 0.4757322432417888}",20,0,-19.29636230099793,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
